Date,Inflation Rates
Jan-24,3.1
Dec-23,3.4
Nov-23,3.1
Oct-23,3.2
Sep-23,3.7
Aug-23,3.7
Jul-23,3.2
Jun-23,3
May-23,4
Apr-23,4.9
Mar-23,5
Feb-23,6
Jan-23,6.4
Dec-22,6.5
Nov-22,7.1
Oct-22,7.7
Sep-22,8.2
Aug-22,8.3
Jul-22,8.5
Jun-22,9.1
May-22,8.6
Apr-22,8.3
Mar-22,8.5
Feb-22,7.9
Jan-22,7.5
Dec-21,7
Nov-21,6.8
Oct-21,6.2
Sep-21,5.4
Aug-21,5.3
Jul-21,5.4
Jun-21,5.4
May-21,5
Apr-21,4.2
Mar-21,2.6
Feb-21,1.7
Jan-21,1.4
Dec-20,1.4
Nov-20,1.2
Oct-20,1.2
Sep-20,1.4
Aug-20,1.3
Jul-20,1
Jun-20,0.6
May-20,0.1
Apr-20,0.3
Mar-20,1.5
Feb-20,2.3
Jan-20,2.5
Dec-19,2.3
Nov-19,2.1
Oct-19,1.8
Sep-19,1.7
Aug-19,1.7
Jul-19,1.8
Jun-19,1.6
May-19,1.8
Apr-19,2
Mar-19,1.9
Feb-19,1.5
Jan-19,1.6
Dec-18,1.9
Nov-18,2.2
Oct-18,2.5
Sep-18,2.3
Aug-18,2.7
Jul-18,2.9
Jun-18,2.9
May-18,2.8
Apr-18,2.5
Mar-18,2.4
Feb-18,2.2
Jan-18,2.1
Dec-17,2.1
Nov-17,2.2
Oct-17,2
Sep-17,2.2
Aug-17,1.9
Jul-17,1.7
Jun-17,1.6
May-17,1.9
Apr-17,2.2
Mar-17,2.4
Feb-17,2.7
Jan-17,2.5